transaction_id,customer_id,transaction_date,amount,product_name
TXN00000001,CUST00127,2024-08-15,95.50,Laptop
TXN00000002,CUST00345,2024-08-20,45.00,T-Shirt
TXN00000003,CUST00089,2024-09-01,120.00,Phone
TXN00000004,CUST00412,2024-09-05,32.50,Jeans
TXN00000005,CUST00001,2024-09-10,78.00,Lamp
TXN00000006,CUST00234,2024-09-15,55.00,Yoga Mat
TXN00000007,CUST00127,2024-09-20,110.00,Phone
TXN00000008,CUST00456,2024-09-25,28.00,T-Shirt
TXN00000009,CUST00089,2024-10-01,85.00,Laptop
TXN00000010,CUST00345,2024-10-05,42.00,Jeans
TXN00000011,CUST00001,2024-10-10,65.00,Yoga Mat
TXN00000012,CUST00412,2024-10-15,98.00,Lamp
TXN00000013,CUST00234,2024-10-20,150.00,Laptop
TXN00000014,CUST00127,2024-10-25,38.00,T-Shirt
TXN00000015,CUST00456,2024-11-01,72.00,Phone
TXN00000016,CUST00089,2024-11-05,55.00,Jeans
TXN00000017,CUST00345,2024-11-10,88.00,Lamp
TXN00000018,CUST00001,2024-11-15,45.00,Yoga Mat
TXN00000019,CUST00412,2024-11-20,125.00,Laptop
TXN00000020,CUST00234,2024-11-25,62.00,Phone
TXN00000021,CUST00127,2024-12-01,35.00,T-Shirt
TXN00000022,CUST00456,2024-12-05,95.00,Jeans
TXN00000023,CUST00089,2024-12-10,78.00,Lamp
TXN00000024,CUST00345,2024-12-15,52.00,Yoga Mat
TXN00000025,CUST00001,2024-12-20,140.00,Laptop
TXN00000026,CUST00412,2024-12-25,48.00,Phone
TXN00000027,CUST00234,2024-12-30,85.00,T-Shirt
TXN00000028,CUST00127,2025-01-05,68.00,Jeans
TXN00000029,CUST00456,2025-01-10,105.00,Lamp
TXN00000030,CUST00089,2025-01-15,42.00,Yoga Mat
TXN00000031,CUST00017,2024-08-18,88.50,Laptop
TXN00000032,CUST00298,2024-08-22,52.00,Phone
TXN00000033,CUST00156,2024-09-03,38.00,T-Shirt
